case;GroundTruth_bin;GroundTruth_src;GroundTruth_message;roseau_bin;roseau_src;correct_roseau_bin;correct_roseau_src;roseau_message;japicmp_bin;japicmp_src;correct_japicmp_bin;correct_japicmp_src;japicmp_message;revapi_bin;revapi_src;correct_revapi_bin;correct_revapi_src;revapi_message
TypeRemovedTest_class_public_kept;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
SealedHierarchyExtensibilityTest_parameter_generics_changed_in_sealed_class_with_non_sealed_subclass;false;true;Compiler: compiler.err.name.clash.same.erasure.no.override, compiler.err.method.does.not.override.superclass;false;true;true;true;EXECUTABLE_PARAMETER_GENERICS_CHANGED, EXECUTABLE_PARAMETER_GENERICS_CHANGED;false;false;true;false;;false;true;true;true;type parameter of method parameter changed
SealedHierarchyExtensibilityTest_default_method_now_abstract_in_sealed_interface_with_non_sealed_subinterface;false;true;Compiler: compiler.err.does.not.override.abstract;true;true;false;true;METHOD_NOW_ABSTRACT, METHOD_NOW_ABSTRACT;true;true;false;true;JApiCompatibilityChange{type=METHOD_NOW_ABSTRACT};true;true;false;true;method no longer default, Method now abstract
TypeNewAbstractMethodTest_method_added_to_interface;false;true;Compiler: compiler.err.does.not.override.abstract;false;true;true;true;TYPE_NEW_ABSTRACT_METHOD;false;true;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_INTERFACE};false;true;true;true;method added to interface
MethodReturnTypeChangedTest_type_formal_type_parameter_renamed_direct_return_no_break;false;false;;false;false;true;true;;false;true;true;false;JApiCompatibilityChange{type=CLASS_GENERIC_TEMPLATE_CHANGED};false;false;true;true;
TypeNowSealedTest_abstract_method_added_while_interface_becomes_sealed;false;true;Compiler: compiler.err.local.classes.cant.extend.sealed;true;true;false;true;TYPE_NOW_SEALED;false;true;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_INTERFACE}, JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=INTERFACE_ADDED};false;true;true;true;method added to interface
ExecutableNoLongerThrowsCheckedExceptionTest_method_no_longer_throws_error;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;Method no longer throws runtime exceptions
TypeRemovedTest_class_public_moved;true;true;Compiler: compiler.err.cant.resolve.locationLinker: Exception in thread "main" java.lang.NoClassDefFoundError: TypeRemovedTest_class_public_moved/A;true;true;true;true;TYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};true;true;true;true;class removed, class added
TypeSupertypeRemovedTest_private_superclass_removed;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=SUPERCLASS_REMOVED};true;true;false;false;removed super class
MethodReturnTypeChangedTest_subtype_type_parameter_final_no_break;false;false;;false;false;true;true;;false;false;true;true;;false;true;true;false;return type changed type parameter
